"County","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Connecticut","09","2006-2010","All","Number","SNAP Recipients",98180
"Connecticut","09","2006-2010","All","Number","Margins of Error",1974.05
"Connecticut","09","2006-2010","All","Percent","SNAP Recipients",7.22
"Connecticut","09","2006-2010","All","Percent","Margins of Error",0.14
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Number","SNAP Recipients",417
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",162
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Percent","SNAP Recipients",13.9
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Percent","Margins of Error",5.18
"Connecticut","09","2006-2010","Asian Alone","Number","SNAP Recipients",1548
"Connecticut","09","2006-2010","Asian Alone","Number","Margins of Error",298
"Connecticut","09","2006-2010","Asian Alone","Percent","SNAP Recipients",3.7
"Connecticut","09","2006-2010","Asian Alone","Percent","Margins of Error",0.71
"Connecticut","09","2006-2010","Black or African American Alone","Number","SNAP Recipients",23636
"Connecticut","09","2006-2010","Black or African American Alone","Number","Margins of Error",1012
"Connecticut","09","2006-2010","Black or African American Alone","Percent","SNAP Recipients",19.58
"Connecticut","09","2006-2010","Black or African American Alone","Percent","Margins of Error",0.81
"Connecticut","09","2006-2010","Hispanic or Latino","Number","SNAP Recipients",34169
"Connecticut","09","2006-2010","Hispanic or Latino","Number","Margins of Error",1052
"Connecticut","09","2006-2010","Hispanic or Latino","Percent","SNAP Recipients",25.53
"Connecticut","09","2006-2010","Hispanic or Latino","Percent","Margins of Error",0.73
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",28
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",47
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",8.09
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",13.23
"Connecticut","09","2006-2010","Some Other Race Alone","Number","SNAP Recipients",16715
"Connecticut","09","2006-2010","Some Other Race Alone","Number","Margins of Error",922
"Connecticut","09","2006-2010","Some Other Race Alone","Percent","SNAP Recipients",29.3
"Connecticut","09","2006-2010","Some Other Race Alone","Percent","Margins of Error",1.33
"Connecticut","09","2006-2010","Two or More Races","Number","SNAP Recipients",3081
"Connecticut","09","2006-2010","Two or More Races","Number","Margins of Error",429
"Connecticut","09","2006-2010","Two or More Races","Percent","SNAP Recipients",18.53
"Connecticut","09","2006-2010","Two or More Races","Percent","Margins of Error",2.37
"Connecticut","09","2006-2010","White Alone","Number","SNAP Recipients",52755
"Connecticut","09","2006-2010","White Alone","Number","Margins of Error",1312
"Connecticut","09","2006-2010","White Alone","Percent","SNAP Recipients",4.71
"Connecticut","09","2006-2010","White Alone","Percent","Margins of Error",0.12
"Connecticut","09","2006-2010","White Alone Not Hispanic or Latino","Number","SNAP Recipients",38292
"Connecticut","09","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",1161
"Connecticut","09","2006-2010","White Alone Not Hispanic or Latino","Percent","SNAP Recipients",3.65
"Connecticut","09","2006-2010","White Alone Not Hispanic or Latino","Percent","Margins of Error",0.11
"Connecticut","09","2007-2011","All","Number","SNAP Recipients",112652
"Connecticut","09","2007-2011","All","Number","Margins of Error",2234.8
"Connecticut","09","2007-2011","All","Percent","SNAP Recipients",8.28
"Connecticut","09","2007-2011","All","Percent","Margins of Error",0.16
"Connecticut","09","2007-2011","American Indian and Alaska Native Alone","Number","SNAP Recipients",572
"Connecticut","09","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",162
"Connecticut","09","2007-2011","American Indian and Alaska Native Alone","Percent","SNAP Recipients",19.27
"Connecticut","09","2007-2011","American Indian and Alaska Native Alone","Percent","Margins of Error",4.99
"Connecticut","09","2007-2011","Asian Alone","Number","SNAP Recipients",1827
"Connecticut","09","2007-2011","Asian Alone","Number","Margins of Error",272
"Connecticut","09","2007-2011","Asian Alone","Percent","SNAP Recipients",4.37
"Connecticut","09","2007-2011","Asian Alone","Percent","Margins of Error",0.64
"Connecticut","09","2007-2011","Black or African American Alone","Number","SNAP Recipients",27055
"Connecticut","09","2007-2011","Black or African American Alone","Number","Margins of Error",1046
"Connecticut","09","2007-2011","Black or African American Alone","Percent","SNAP Recipients",22.12
"Connecticut","09","2007-2011","Black or African American Alone","Percent","Margins of Error",0.8
"Connecticut","09","2007-2011","Hispanic or Latino","Number","SNAP Recipients",38659
"Connecticut","09","2007-2011","Hispanic or Latino","Number","Margins of Error",1304
