"County","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Connecticut","09","2013-2017","All","Number","SNAP Recipients",169048
"Connecticut","09","2013-2017","All","Number","Margins of Error",2763.1
"Connecticut","09","2013-2017","All","Percent","SNAP Recipients",12.41
"Connecticut","09","2013-2017","All","Percent","Margins of Error",0.2
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Number","SNAP Recipients",933
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",216
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Percent","SNAP Recipients",29.84
"Connecticut","09","2013-2017","American Indian and Alaska Native Alone","Percent","Margins of Error",5.98
"Connecticut","09","2013-2017","Asian Alone","Number","SNAP Recipients",2953
"Connecticut","09","2013-2017","Asian Alone","Number","Margins of Error",410
"Connecticut","09","2013-2017","Asian Alone","Percent","SNAP Recipients",5.84
"Connecticut","09","2013-2017","Asian Alone","Percent","Margins of Error",0.8
"Connecticut","09","2013-2017","Black or African American Alone","Number","SNAP Recipients",36894
"Connecticut","09","2013-2017","Black or African American Alone","Number","Margins of Error",1166
"Connecticut","09","2013-2017","Black or African American Alone","Percent","SNAP Recipients",28.18
"Connecticut","09","2013-2017","Black or African American Alone","Percent","Margins of Error",0.83
"Connecticut","09","2013-2017","Hispanic or Latino","Number","SNAP Recipients",55831
"Connecticut","09","2013-2017","Hispanic or Latino","Number","Margins of Error",1643
"Connecticut","09","2013-2017","Hispanic or Latino","Percent","SNAP Recipients",33.95
"Connecticut","09","2013-2017","Hispanic or Latino","Percent","Margins of Error",0.93
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",124
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",119
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",36.47
"Connecticut","09","2013-2017","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",30.91
"Connecticut","09","2013-2017","Some Other Race Alone","Number","SNAP Recipients",19926
"Connecticut","09","2013-2017","Some Other Race Alone","Number","Margins of Error",1061
"Connecticut","09","2013-2017","Some Other Race Alone","Percent","SNAP Recipients",35.76
"Connecticut","09","2013-2017","Some Other Race Alone","Percent","Margins of Error",1.53
"Connecticut","09","2013-2017","Two or More Races","Number","SNAP Recipients",5548
"Connecticut","09","2013-2017","Two or More Races","Number","Margins of Error",460
"Connecticut","09","2013-2017","Two or More Races","Percent","SNAP Recipients",22.94
"Connecticut","09","2013-2017","Two or More Races","Percent","Margins of Error",1.63
"Connecticut","09","2013-2017","White Alone","Number","SNAP Recipients",102670
"Connecticut","09","2013-2017","White Alone","Number","Margins of Error",2170
"Connecticut","09","2013-2017","White Alone","Percent","SNAP Recipients",9.36
"Connecticut","09","2013-2017","White Alone","Percent","Margins of Error",0.2
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Number","SNAP Recipients",71547
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",1737
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Percent","SNAP Recipients",7.15
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Percent","Margins of Error",0.17
"Fairfield County","09001","2013-2017","All","Number","SNAP Recipients",30680
"Fairfield County","09001","2013-2017","All","Number","Margins of Error",1116.19
"Fairfield County","09001","2013-2017","All","Percent","SNAP Recipients",9.09
"Fairfield County","09001","2013-2017","All","Percent","Margins of Error",0.33
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Number","SNAP Recipients",220
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",98
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Percent","SNAP Recipients",27.36
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Percent","Margins of Error",10.87
