"County","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Connecticut","09","2015-2019","All","Number","SNAP Recipients",162967
"Connecticut","09","2015-2019","All","Number","Margins of Error",3110.16
"Connecticut","09","2015-2019","All","Percent","SNAP Recipients",11.89
"Connecticut","09","2015-2019","All","Percent","Margins of Error",0.22
"Connecticut","09","2015-2019","American Indian and Alaska Native Alone","Number","SNAP Recipients",958
"Connecticut","09","2015-2019","American Indian and Alaska Native Alone","Number","Margins of Error",217
"Connecticut","09","2015-2019","American Indian and Alaska Native Alone","Percent","SNAP Recipients",26.12
"Connecticut","09","2015-2019","American Indian and Alaska Native Alone","Percent","Margins of Error",5.15
"Connecticut","09","2015-2019","Asian Alone","Number","SNAP Recipients",3145
"Connecticut","09","2015-2019","Asian Alone","Number","Margins of Error",434
"Connecticut","09","2015-2019","Asian Alone","Percent","SNAP Recipients",5.96
"Connecticut","09","2015-2019","Asian Alone","Percent","Margins of Error",0.81
"Connecticut","09","2015-2019","Black or African American Alone","Number","SNAP Recipients",34650
"Connecticut","09","2015-2019","Black or African American Alone","Number","Margins of Error",1496
"Connecticut","09","2015-2019","Black or African American Alone","Percent","SNAP Recipients",25.62
"Connecticut","09","2015-2019","Black or African American Alone","Percent","Margins of Error",1.06
"Connecticut","09","2015-2019","Hispanic or Latino","Number","SNAP Recipients",56091
"Connecticut","09","2015-2019","Hispanic or Latino","Number","Margins of Error",1526
"Connecticut","09","2015-2019","Hispanic or Latino","Percent","SNAP Recipients",32.14
"Connecticut","09","2015-2019","Hispanic or Latino","Percent","Margins of Error",0.8
"Connecticut","09","2015-2019","Native Hawaiian and Other Pacific Islander","Number","SNAP Recipients",42
"Connecticut","09","2015-2019","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",39
"Connecticut","09","2015-2019","Native Hawaiian and Other Pacific Islander","Percent","SNAP Recipients",15.33
"Connecticut","09","2015-2019","Native Hawaiian and Other Pacific Islander","Percent","Margins of Error",11.81
"Connecticut","09","2015-2019","Some Other Race Alone","Number","SNAP Recipients",20096
"Connecticut","09","2015-2019","Some Other Race Alone","Number","Margins of Error",1075
"Connecticut","09","2015-2019","Some Other Race Alone","Percent","SNAP Recipients",34.92
"Connecticut","09","2015-2019","Some Other Race Alone","Percent","Margins of Error",1.53
"Connecticut","09","2015-2019","Two or More Races","Number","SNAP Recipients",5977
"Connecticut","09","2015-2019","Two or More Races","Number","Margins of Error",734
